               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.050023,            0.023407,           0.0020821,             0.60316,             0.59182,             0.60509,             0.26196,             0.05501,            0.020237,           0.0034809,            0.007855,            0.007855,            0.007855
                  67,            0.049184,            0.023609,            0.001951,             0.51115,             0.55347,             0.52259,             0.20355,            0.055098,            0.020505,           0.0043219,            0.007822,            0.007822,            0.007822
                  68,            0.047767,            0.023601,           0.0019347,             0.47606,             0.64001,              0.5854,             0.24328,            0.054862,            0.020233,            0.004056,            0.007789,            0.007789,            0.007789
                  69,            0.046916,            0.022885,           0.0021251,             0.60113,             0.60373,              0.5667,             0.22021,            0.055355,             0.02046,           0.0051241,            0.007756,            0.007756,            0.007756
                  70,            0.048328,             0.02189,           0.0020154,             0.70574,             0.57193,             0.60089,             0.25009,            0.055292,            0.020914,           0.0041658,            0.007723,            0.007723,            0.007723
                  71,            0.047074,            0.024226,           0.0018723,              0.7977,             0.53725,             0.61782,             0.29012,            0.054313,            0.021824,            0.004591,             0.00769,             0.00769,             0.00769
                  72,            0.047721,            0.023622,           0.0018599,             0.67862,             0.55951,             0.61258,             0.26865,            0.056517,            0.021834,           0.0052488,            0.007657,            0.007657,            0.007657
                  73,            0.046383,            0.023662,           0.0015362,             0.79145,             0.48164,             0.59162,             0.25419,            0.058066,            0.021572,           0.0043901,            0.007624,            0.007624,            0.007624
                  74,            0.046742,            0.023555,           0.0017331,             0.59703,             0.55973,              0.5688,             0.21931,            0.056626,            0.020808,           0.0035728,            0.007591,            0.007591,            0.007591
                  75,            0.047043,            0.022602,            0.001857,             0.74868,             0.47175,             0.55416,             0.23502,            0.057387,            0.021565,           0.0053776,            0.007558,            0.007558,            0.007558
                  76,            0.046668,            0.022279,           0.0019026,             0.59155,             0.52429,             0.55258,             0.22916,            0.054513,            0.021269,           0.0046579,            0.007525,            0.007525,            0.007525
                  77,            0.047487,            0.023361,           0.0020466,             0.69427,             0.52348,             0.58973,             0.25448,            0.056558,            0.021096,           0.0039997,            0.007492,            0.007492,            0.007492
                  78,            0.047127,            0.023056,           0.0017348,             0.63004,             0.54499,             0.59196,              0.2656,             0.05447,            0.020641,           0.0027868,            0.007459,            0.007459,            0.007459
                  79,            0.045809,            0.022747,           0.0014837,              0.7652,             0.51687,             0.61793,             0.26327,            0.053305,            0.020404,           0.0027847,            0.007426,            0.007426,            0.007426
                  80,            0.047381,            0.022323,           0.0016408,             0.82247,             0.56227,             0.62929,             0.25979,            0.052451,            0.020623,           0.0034447,            0.007393,            0.007393,            0.007393
                  81,            0.044999,            0.021063,           0.0016144,             0.59279,             0.51695,               0.556,             0.18869,            0.056588,            0.020775,            0.003911,             0.00736,             0.00736,             0.00736
                  82,            0.047768,             0.02249,           0.0018548,             0.55642,             0.58446,             0.56587,             0.24064,            0.056063,            0.021969,           0.0041363,            0.007327,            0.007327,            0.007327
                  83,            0.044442,            0.022902,           0.0015085,             0.72052,             0.50519,             0.58532,             0.24849,            0.056935,             0.02084,           0.0039665,            0.007294,            0.007294,            0.007294
                  84,            0.045701,            0.022136,           0.0015987,             0.71416,               0.604,             0.62149,             0.25593,            0.055519,            0.022573,           0.0044453,            0.007261,            0.007261,            0.007261
                  85,            0.046647,            0.022085,           0.0015341,             0.73986,              0.4994,             0.57566,             0.23888,            0.052973,             0.02197,           0.0042183,            0.007228,            0.007228,            0.007228
                  86,            0.044759,            0.023742,           0.0018018,             0.68612,             0.50535,             0.58061,             0.21852,            0.057103,            0.021007,           0.0046062,            0.007195,            0.007195,            0.007195
